scientific_name,bac_gram_stain,bac_oxygen_use,biofilm_forming,spore_forming,metabolism,metabolism_carbon_source,metabolism_electron_source,metabolism_energy,pathogen,pathogen_host,pathogen_host_human,extremophile,extremophile_type
Rickettsia rickettsii,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Rickettsia typhi,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Blood CNS,No,
Rickettsia typhi,Positive,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Rickettsia typhi,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Ruminococcus gnavus,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Ruminococcus gnavus,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Saccharopolyspora erythraea,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Saccharopolyspora erythraea,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Salmonella enterica,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Salmonella paratyphi,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Salmonella typhimurium,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Selenomonas ruminantium,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Gastrointestinal_tract,No,
Serratia liquefaciens,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Serratia marcescens,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Shigella dysenteriae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Shigella flexneri,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Shigella sonnei,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Sinorhizobium fredii,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,Plant,None,No,
Sinorhizobium meliloti,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,Plant,None,No,
Sordaria fimicola,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Sphingomonas koreensis,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Sphingomonas paucimobilis,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Sphingomonas yanoikuyae,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Staphylococcus aureus,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Skin Blood CNS,No,
Staphylococcus epidermidis,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Skin Blood CNS,No,
Staphylococcus saprophyticus,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Stenotrophomonas maltophilia,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Stenotrophomonas maltophilia,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptococcus agalactiae,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Streptococcus gordonii,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Streptococcus mutans,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Streptococcus pneumoniae,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 1,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 10,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 11,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 12,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 13,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 14,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 15,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 16,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 17,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 18,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 19,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 2,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 20,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 21,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 22,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 23,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 24,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 25,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 26,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 27,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 28,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 29,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 30,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 31,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 4,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 5,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 6,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 7,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 8,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pneumoniae serotype 9,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Streptococcus pyogenes,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Skin Blood CNS,No,
Streptococcus sanguinis,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Streptococcus sobrinus,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Streptomyces aureofaciens,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces aureofaciens,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces avermitilis,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces avermitilis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces badius,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces badius,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces chrysomallus,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces chrysomallus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces clavuligerus,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces clavuligerus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces coelicolor,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces coelicolor,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces fradiae,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces fradiae,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces glaucescens,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces glaucescens,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces griseoviridis,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces griseoviridis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces griseus,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces griseus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces hygroscopicus,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces hygroscopicus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces lividans,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces lividans,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces noursei,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces noursei,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces rimosus,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces rimosus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces rochei,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces rochei,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces thermotolerans,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces thermotolerans,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptomyces venezuelae,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Streptomyces venezuelae,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Streptosporangium roseum,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Tannerella forsythia,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Treponema denticola,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Treponema pallidum,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Treponema pallidum,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Trichomonas vaginalis,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Ureaplasma parvum,Positive,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Ureaplasma parvum,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Ureaplasma urealyticum,Positive,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Ureaplasma urealyticum,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Ureaplasma urealyticum,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Veillonella parvula,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Vibrio cholerae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Vibrio parahaemolyticus,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Vibrio vulnificus,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Wolbachia pipientis,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Wolinella recta,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Wolinella succinogenes,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Xanthomonas axonopodis,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Plant,Respiratory_tract,No,
Xanthomonas campestris,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Plant,Respiratory_tract,No,
Xanthomonas euvesicatoria,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Plant,Respiratory_tract,No,
Yersinia enterocolitica,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Yersinia pestis,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Blood CNS,Yes,Psychrophile
