scientific_name,virus_genome,virus_strand,virus_strand_sense,virus_capsid_symmetry,virus_capsid,pathogen,pathogen_host,Host_species
Tomato yellow leaf curl virus,DNA,ss,Positive,Geminivirus,Naked,Yes,Plant,Plant
Toscana virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Human,Human
Transmissible gastroenteritis virus,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Pig
Triatoma virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Animal,Insect
Turnip crinkle virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Turnip yellow mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Venezuelan equine encephalitis virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Vesicular stomatitis virus,RNA,ss,Negative,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Watermelon mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
West Nile virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Western equine encephalitis virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Wheat dwarf virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
White clover mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Whitefly-transmitted geminivirus,DNA,ss,Positive,Geminivirus,Naked,Yes,Plant,Plant
Woodchuck hepatitis virus,DNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Rodent
Xanthomonas oryzae pv. oryzae phage Xp10,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacterium
Yellow fever virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Human,Human
Yellowhead virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Fish
Zucchini yellow mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Zyka virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Human,Human
