"scientific_name","taxonomy_id","entry_counts","rank","domain","virus_genome","virus_strand","virus_strand_sense","virus_capsid","virus_capsid_symmetry","pathogen","pathogen_host","volunteer_name","source","reference"
"Ceduovirus c2",31537,3,"species","Virus","DNA","ds","","Unknown","Icosahedral","Yes","Bacteria","Alena LeBron Alexandra Solowinska Alan Mancheril","TMD","Taxonomy Browser (Lactococcus Virus C2). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=31537. Accessed 27 Apr. 2020.

Lactococcus Virus C2. https://www.genome.jp/virushostdb/31537. Accessed 27 Apr. 2020.

Ceduovirus ~ ViralZone Page. https://viralzone.expasy.org/514. Accessed 27 Apr. 2020.

King, Andrew M. Q., et al., editors. “Family - Siphoviridae.” Virus Taxonomy, Elsevier, 2012, pp. 86–98. ScienceDirect, doi:10.1016/B978-0-12-384684-6.00004-5. Tidona, Christian A., et al., editors. The Springer Index of Viruses. Springer-Verlag, 2002. DOI.org (Crossref), doi:10.1007/3-540-31042-8. Oliveira, Joana, et al. “Biodiversity of Bacteriophages Infecting Lactococcus Lactis Starter Cultures.” Journal of Dairy Science, vol. 101, no. 1, Jan. 2018, pp. 96–105. ScienceDirect, doi:10.3168/jds.2017-13403.

Millen, Anne M., and Dennis A. Romero. “Genetic Determinants of Lactococcal C2viruses for Host Infection and Their Role in Phage Evolution.” The Journal of General Virology, vol. 97, no. 8, Aug. 2016, pp. 1998–2007. PubMed, doi:10.1099/jgv.0.000499."
"Human adenovirus 16",31544,2,"no_rank","Virus","DNA","ds","Unknown","Naked","Incongruent","Incongruent","Human","Jose Leonardo Romero Victor Ma","TMD","Mitovirus - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/mitovirus. Accessed 2 Jan. 2021.

Taxonomy Browser (Human Adenovirus 16). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=31544&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 2 Jan. 2021.

Mastadenovirus ~ ViralZone Page. https://viralzone.expasy.org/183. Accessed 2 Jan. 2021. Tian, Xingui, et al. “Molecular Evolution of Human Adenovirus Type 16 through Multiple Recombination Events.” Virus Genes, vol. 55, no. 6, Dec. 2019, pp. 769–78. Springer Link, doi:10.1007/s11262-019-01698-4."
"Paramecium bursaria Chlorella virus CVK2",31555,3,"species","Virus","DNA","ds","","Enveloped","Icosahedral","Yes","Plant","Alan Mancheril Alena LeBron Alexandra Solowinska","TMD","Zhang, Xinzheng, et al. “Three-Dimensional Structure and Function of the Paramecium Bursaria Chlorella Virus Capsid.” Proceedings of the National Academy of Sciences, vol. 108, no. 36, Sept. 2011, pp. 14837–42. www.pnas.org, doi:10.1073/pnas.1107847108.

Dunigan, David D., et al. “Paramecium Bursaria Chlorella Virus 1 Proteome Reveals Novel Architectural and Regulatory Features of a Giant Virus.” Journal of Virology, vol. 86, no. 16, Aug. 2012, pp. 8821–34. jvi.asm.org, doi:10.1128/JVI.00907-12. Taxonomy Browser (Paramecium Bursaria Chlorella Virus CVK2). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=31555. Accessed 27 Apr. 2020.

Dunigan, David D., et al. “Paramecium Bursaria Chlorella Virus 1 Proteome Reveals Novel Architectural and Regulatory Features of a Giant Virus.” Journal of Virology, vol. 86, no. 16, Aug. 2012, pp. 8821–34. jvi.asm.org, doi:10.1128/JVI.00907-12.

Rixon, Frazer J., and Wah Chiu. “Studying Large Viruses.” Advances in Protein Chemistry, vol. 64, Academic Press, 2003, pp. 379–408. ScienceDirect, doi:10.1016/S0065-3233(03)01011-8.

“Phycodnaviridae - DsDNA Viruses - DsDNA Viruses (2011).” International Committee on Taxonomy of Viruses (ICTV), https://talk.ictvonline.org/ictv-reports/ictv_9th_report/dsdna-viruses-2011/w/dsdna_viruses/123/phycodnaviridae. Accessed 27 Apr. 2020. Van Etten, James L., et al. “Chloroviruses.” Viruses, vol. 12, no. 1, Dec. 2019. PubMed Central, doi:10.3390/v12010020."
"Cauliflower mosaic virus (STRAIN NY8153)",31557,1,"no_rank","Virus","DNA","ds","Negative_strand","Naked","Icosahedral","Yes","Plant","Ethan Samuel Lin","TMD","Chenault, K. D., et al. “Nucleotide Sequence of Cauliflower Mosaic Virus Isolate NY8153.” Plant Physiology, vol. 100, no. 1, Sept. 1992, pp. 542–45. PubMed, doi:10.1104/pp.100.1.542.

Caulimovirus ~ ViralZone Page. https://viralzone.expasy.org/119?outline=all_by_species. Accessed 6 Sept. 2020."
"Cacao swollen shoot virus",31559,3,"species","Virus","DNA","ds","Unknown","Naked","Incongruent","Yes","Plant","Faria Haq Faria Noor Farjana Rahman","TMD","Muller, Emmanuelle. “Cacao Swollen Shoot Virus (CSSV): History, Biology, and Genome.” Cacao Diseases: A History of Old Enemies and New Encounters, edited by Bryan A. Bailey and Lyndel W. Meinhardt, Springer International Publishing, 2016, pp. 337–58. Springer Link, doi:10.1007/978-3-319-24789-2_10. https://viralzone.expasy.org/120 “Nucleotide Sequence and Genomic Organization of Cacao Swollen Shoot Virus.” Virology, vol. 196, no. 2, Oct. 1993, pp. 619–28. www.sciencedirect.com, doi:10.1006/viro.1993.1518."
"Human rotavirus 1 strain RV4",31570,2,"no_rank","Virus","RNA","ds","Incongruent","Naked","Icosahedral","Yes","Animal Human","Shanna Huang Sarah Shalan","TMD","Rotavirus ~ ViralZone Page. https://viralzone.expasy.org/107. Accessed 15 Dec. 2020.
Taxonomy Browser (Root). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi. Accessed 15 Dec. 2020. Donato, Celeste M., et al. “Characterization of a G1P[8] Rotavirus Causing an Outbreak of Gastroenteritis in the Northern Territory, Australia, in the Vaccine Era.” Emerging Microbes & Infections, vol. 3, no. 7, July 2014, p. e47. PubMed Central, doi:10.1038/emi.2014.47."
"Xanthomonas phage Cf1t",31596,3,"species","Virus","DNA","Unknown","","Unknown","Helical","Yes","Bacteria","Alexandra Solowinska Alena LeBron Alan Mancheril","TMD","Taxonomy Browser (Xanthomonas Phage Cf1t). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=31596. Accessed 4 May 2020. Taxonomy Browser (Xanthomonas Phage Cf1t). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=31596. Accessed 27 Apr. 2020.

Ahmad, Abdelmonim Ali, et al. “The Filamentous Phage XacF1 Causes Loss of Virulence in Xanthomonas Axonopodis Pv. Citri, the Causative Agent of Citrus Canker Disease.” Frontiers in Microbiology, vol. 5, July 2014. PubMed Central, doi:10.3389/fmicb.2014.00321.

Inoviridae ~ ViralZone Page. https://viralzone.expasy.org/113?outline=all_by_species. Accessed 27 Apr. 2020. Ahmad, Abdelmonim Ali, et al. “The Filamentous Phage XacF1 Causes Loss of Virulence in Xanthomonas Axonopodis Pv. Citri, the Causative Agent of Citrus Canker Disease.” Frontiers in Microbiology, vol. 5, July 2014. PubMed Central, doi:10.3389/fmicb.2014.00321.

Kuo, T. T., et al. “A Long Lytic Cycle in Filamentous Phage Cf1tv InfectingXanthomonas Campestris Pv.Citri.” Archives of Virology, vol. 135, no. 3, Sept. 1994, pp. 253–64. Springer Link, doi:10.1007/BF01310012."
"Indian cassava mosaic virus",31600,3,"species","Virus","DNA","ss","Unknown","Naked","Icosahedral","Yes","Plant","Suriya Islam Styliana Maimos Sreevatshan Srinivasan","TMD","Karthikeyan, Chockalingam, et al. “Emergence of a Latent Indian Cassava Mosaic Virus from Cassava Which Recovered from Infection by a Non-Persistent Sri Lankan Cassava Mosaic Virus.” Viruses, vol. 8, no. 10, Sept. 2016. PubMed Central, doi:10.3390/v8100264. Antony, B., et al. “Evidences for Transmission of Indian Cassava Mosaic Virus through Bemisia Tabaci – Cassava Biotype.” Archives Of Phytopathology And Plant Protection, vol. 42, no. 10, Oct. 2009, pp. 922–29. DOI.org (Crossref), doi:10.1080/03235400701541321.

Karthikeyan, Chockalingam, et al. “Emergence of a Latent Indian Cassava Mosaic Virus from Cassava Which Recovered from Infection by a Non-Persistent Sri Lankan Cassava Mosaic Virus.” Viruses, vol. 8, no. 10, Sept. 2016. PubMed Central, doi:10.3390/v8100264. Saunders, Keith, et al. “Characterisation of Sri Lankan Cassava Mosaic Virus and Indian Cassava Mosaic Virus: Evidence for Acquisition of a DNA B Component by a Monopartite Begomovirus.” Virology, vol. 293, no. 1, Feb. 2002, pp. 63–74. DOI.org (Crossref), doi:10.1006/viro.2001.1251.

Gao, ShiQiang, et al. “A New Strain of Indian Cassava Mosaic Virus Causes a Mosaic Disease in the Biodiesel Crop Jatropha Curcas.” Archives of Virology, vol. 155, no. 4, Apr. 2010, pp. 607–12. DOI.org (Crossref), doi:10.1007/s00705-010-0625-0."
"Bean calico mosaic virus",31602,2,"species","Virus","DNA","ss","Incongruent","Incongruent","Icosahedral","Yes","Plant","Ryan Feng Salma Benitez","TMD","Geminiviridae ~ ViralZone Page. https://viralzone.expasy.org/109. Accessed 26 Dec. 2020. Brown, J K et al. “Biotic, molecular, and phylogenetic characterization of bean calico mosaic virus, a distinct begomovirus species with affiliation in the squash leaf curl virus cluster.” Phytopathology vol. 89,4 (1999): 273-80. doi:10.1094/PHYTO.1999.89.4.273

LEVY, AVNER, and TZVI TZFIRA. “Bean Dwarf Mosaic Virus: A Model System for the Study of Viral Movement.” Molecular Plant Pathology, vol. 11, no. 4, Mar. 2010, pp. 451–61. PubMed Central, doi:10.1111/j.1364-3703.2010.00619.x."
"Pepper geminivirus",31603,3,"species","Virus","DNA","ss","","Unknown","Icosahedral","Yes","Plant","Alena LeBron Alexandra Solowinska Alan Mancheril","TMD","Rentería-Canett, Ilenia, et al. “Geminivirus Mixed Infection on Pepper Plants: Synergistic Interaction between PHYVV and PepGMV.” Virology Journal, vol. 8, Mar. 2011, p. 104. PubMed Central, doi:10.1186/1743-422X-8-104.

Góngora-Castillo, Elsa, et al. “Transcriptome Analysis of Symptomatic and Recovered Leaves of Geminivirus-Infected Pepper (Capsicum Annuum).” Virology Journal, vol. 9, no. 1, Nov. 2012, p. 295. BioMed Central, doi:10.1186/1743-422X-9-295.

Ceniceros-Ojeda, Esther Adriana, et al. “Two Populations of Viral Minichromosomes Are Present in a Geminivirus-Infected Plant Showing Symptom Remission (Recovery).” Journal of Virology, vol. 90, no. 8, Apr. 2016, pp. 3828–38. jvi.asm.org, doi:10.1128/JVI.02385-15. Fauquet CM, Briddon RW, Brown JK, Moriones E, Stanley J, Zerbini M, Zhou X. Geminivirus strain demarcation and nomenclature. Arch Virology. 2008;153:783–821. doi: 10.1007/s00705-008-0037-6. Góngora-Castillo, Elsa, et al. “Transcriptome Analysis of Symptomatic and Recovered Leaves of Geminivirus-Infected Pepper (Capsicum Annuum).” Virology Journal, vol. 9, Nov. 2012, p. 295. PubMed, doi:10.1186/1743-422X-9-295.

Rentería-Canett, Ilenia, et al. “Geminivirus Mixed Infection on Pepper Plants: Synergistic Interaction between PHYVV and PepGMV.” Virology Journal, vol. 8, Mar. 2011, p. 104. PubMed Central, doi:10.1186/1743-422X-8-104."
"Small ruminant morbillivirus",31604,2,"species","Virus","RNA","ss","","Incongruent","Helical","Yes","Animal","Anastassiya Skripchenko Alleyah Hanson","TMD","Kumar, Naveen, et al. “Peste Des Petits Ruminants Virus Infection of Small Ruminants: A Comprehensive Review.” Viruses, vol. 6, no. 6, June 2014, pp. 2287–327. PubMed Central, doi:10.3390/v6062287.

Liu, Fuxiao, et al. “Rescue of EGFP-Expressing Small Ruminant Morbillivirus for Identifying Susceptibilities of Eight Mammalian Cell Lines to Its Infection.” Virus Research, vol. 261, Feb. 2019, pp. 60–64. ScienceDirect, doi:10.1016/j.virusres.2018.12.011.

Lvov, Dimitry Konstantinovich, et al. “Chapter 5 - Order Mononegavirales.” Zoonotic Viruses in Northern Eurasia, edited by Dimitry Konstantinovich Lvov et al., Academic Press, 2015, pp. 77–106. ScienceDirect, doi:10.1016/B978-0-12-801742-5.00005-2.

Parida, S., et al. “Peste Des Petits Ruminants.” Veterinary Microbiology, vol. 181, no. 1–2, Dec. 2015, pp. 90–106. PubMed Central, doi:10.1016/j.vetmic.2015.08.009.

Schulz, Claudia, et al. Neglected Hosts of Small Ruminant Morbillivirus - Volume 24, Number 12—December 2018 - Emerging Infectious Diseases Journal - CDC. wwwnc.cdc.gov, doi:10.3201/eid2412.180507. Accessed 26 Apr. 2020.

Shahriari, Reza, et al. “Molecular Characterization of Peste Des Petits Ruminants Virus Isolated from Four Outbreaks Occurred in Southern Iran.” BMC Veterinary Research, vol. 15, no. 1, Dec. 2019, p. 177. DOI.org (Crossref), doi:10.1186/s12917-019-1920-y. Small Ruminant Morbillivirus - Wikispecies. https://species.wikimedia.org/wiki/Small_ruminant_morbillivirus. Accessed 26 Apr. 2020.
Yadav, Ajay Kumar, et al. “Expression and Characterization of the Non-Structural Protein V of Small Ruminant Morbillivirus.” VirusDisease, vol. 30, no. 3, Sept. 2019, pp. 465–68. Springer Link, doi:10.1007/s13337-019-00539-0."
"Hantavirus A9",31618,2,"species","Virus","RNA","ss","","Incongruent","Helical","Yes","Animal Human Plant","Alleyah Hanson Anastassiya Skripchenko","TMD","Jonsson, Colleen B., et al. “A Global Perspective on Hantavirus Ecology, Epidemiology, and Disease.” Clinical Microbiology Reviews, vol. 23, no. 2, Apr. 2010, pp. 412–41. cmr.asm.org, doi:10.1128/CMR.00062-09. Gavrilovskaya, Irina N., et al. “Cellular Entry of Hantaviruses Which Cause Hemorrhagic Fever with Renal Syndrome Is Mediated by Β3 Integrins.” Journal of Virology, vol. 73, no. 5, May 1999, pp. 3951–59.

Jonsson, Colleen B., et al. “A Global Perspective on Hantavirus Ecology, Epidemiology, and Disease.” Clinical Microbiology Reviews, vol. 23, no. 2, Apr. 2010, pp. 412–41. cmr.asm.org, doi:10.1128/CMR.00062-09.

Mou, Dan Lei, et al. “Cellular Entry of Hantaan Virus A9 Strain: Specific Interactions with Beta3 Integrins and a Novel 70kDa Protein.” Biochemical and Biophysical Research Communications, vol. 339, no. 2, Jan. 2006, pp. 611–17. PubMed, doi:10.1016/j.bbrc.2005.11.049.

Muyangwa, Musalwa, et al. “Hantaviral Proteins: Structure, Functions, and Role in Hantavirus Infection.” Frontiers in Microbiology, vol. 6, Nov. 2015. PubMed Central, doi:10.3389/fmicb.2015.01326.

Organization, Pan American Health. “Hantavirus in the Americas: Guidelines for Prevention, Diagnosis, Treatment, and Control.” Technical Paper;47, 1999. iris.paho.org, https://iris.paho.org/handle/10665.2/40176.

Virology | Hantavirus | DHCPP | CDC. 26 Feb. 2019, https://www.cdc.gov/hantavirus/technical/hanta/virology.html."
"Hepatitis C virus subtype 5a",31654,3,"no_rank","Virus","RNA","ss","Positive_strand","Enveloped","Incongruent","Yes","Human","Elizabeth Katanov Elizabeth Ghobrial Erica Aguayza","TMD","Core Concepts - Treatment of HCV Genotype 5 or 6 - Treatment of Chronic Hepatitis C Infection - Hepatitis C Online. https://www.hepatitisc.uw.edu/go/treatment-infection/treatment-genotype-5-or-6/core-concept/all. Accessed 3 Jan. 2021.

Saludes, V., et al. “Reliable Resolution of Ambiguous Hepatitis C Virus Genotype 1 Results with the Abbott HCV Genotype Plus RUO Assay.” Scientific Reports, vol. 9, no. 1, Mar. 2019, p. 3678. www.nature.com, doi:10.1038/s41598-019-40099-3.

Taxonomy Browser (Hepatitis C Virus Subtype 5a). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&amp;id=31654. Accessed 3 Jan. 2021. NA Hedskog, Charlotte, et al. “Identification of 19 Novel Hepatitis C Virus Subtypes—Further Expanding HCV Classification.” Open Forum Infectious Diseases, vol. 6, no. ofz076, Mar. 2019. Silverchair, doi:10.1093/ofid/ofz076.

Simmonds, P., et al. “Classification of Hepatitis C Virus into Six Major Genotypes and a Series of Subtypes by Phylogenetic Analysis of the NS-5 Region.” Journal of General Virology, vol. 74, no. 11, 1993, pp. 2391–99. Microbiology Society Journals, doi:10.1099/0022-1317-74-11-2391."
"Pestivirus sp.",31657,2,"species","Virus","RNA","ss","","Enveloped","Icosahedral","Yes","Animal Human","Anastassiya Skripchenko Alleyah Hanson","TMD","Guelbenzu-Gonzalo, Maria P., et al. “Genetic Diversity of Ruminant Pestivirus Strains Collected in Northern Ireland between 1999 and 2011 and the Role of Live Ruminant Imports.” Irish Veterinary Journal, vol. 69, no. 1, June 2016, p. 7. BioMed Central, doi:10.1186/s13620-016-0066-5.

Pestivirus ~ ViralZone Page. https://viralzone.expasy.org/39?outline=all_by_species. Accessed 26 Apr. 2020.

Silveira, Simone, et al. “Phylogenetic and Evolutionary Analysis of HoBi-like Pestivirus: Insights into Origin and Dispersal.” Transboundary and Emerging Diseases, vol. n/a, no. n/a. Wiley Online Library, doi:10.1111/tbed.13520. Accessed 26 Apr. 2020.

Tautz, Norbert, et al. “Chapter Two - The Molecular Biology of Pestiviruses.” Advances in Virus Research, edited by Margaret Kielian et al., vol. 93, Academic Press, 2015, pp. 47–160. ScienceDirect, doi:10.1016/bs.aivir.2015.03.002. “Pestivirus.” Wikipedia, 12 Apr. 2020. Wikipedia, https://en.wikipedia.org/w/index.php?title=Pestivirus&oldid=950432026.
Taxonomy Browser (Pestivirus Sp. Strain 5250). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=664655. Accessed 26 Apr. 2020."
"Radiation murine leukemia virus (strain Kaplan)",31689,2,"no_rank","Virus","DNA","Unknown","Unknown","Unknown","","Unknown","","Chennai Marcus Bruno Spinetti Moda","TMD","Rassart, E., Paquette, Y., & Jolicoeur, P. (1988). Inability of Kaplan radiation leukemia virus to replicate on mouse fibroblasts is conferred by its long terminal repeat. Journal of virology, 62(10), 3840–3848. https://doi.org/10.1128/JVI.62.10.3840-3848.1988 Poliquin, L., et al. “Determinants of Thymotropism in Kaplan Radiation Leukemia Virus and Nucleotide Sequence of Its Envelope Region.” Journal of Virology, vol. 66, no 8, 1992, p. 5141–46.

Rassart, E., et al. “Studies on Emerging Radiation Leukemia Virus Variants in C57BL/Ka Mice.” Journal of Virology, vol. 58, no 1, 1986, p. 96."
"Rat leukemia virus",31695,2,"species","Virus","Incongruent","Incongruent","","Incongruent","Icosahedral","Yes","Animal","Anastassiya Skripchenko Alleyah Hanson","TMD","Lee, Shing-Yi, et al. “Genetic Analysis of the Rat Leukemia Virus: Influence of Viral Sequences in Transduction of the c-Ras Proto-Oncogene and Expression of Its Transforming Activity.” Journal of Virology, vol. 72, no. 12, Dec. 1998, pp. 9906–17.

---. “Genetic Analysis of the Rat Leukemia Virus: Influence of Viral Sequences in Transduction of the c-RasProto-Oncogene and Expression of Its Transforming Activity.” Journal of Virology, vol. 72, no. 12, Dec. 1998, pp. 9906–17. DOI.org (Crossref), doi:10.1128/JVI.72.12.9906-9917.1998.

Rat Leukemia Virus | Semantic Scholar. https://www.semanticscholar.org/topic/Rat-leukemia-virus/4425403. Accessed 26 Apr. 2020.

Rhim, John S., and Robert J. Huebner. “Rat Embryo Cells in Complement Fixation Tests for Murine Leukaemia Virus.” Nature, vol. 226, no. 5246, May 1970, pp. 646–47. www.nature.com, doi:10.1038/226646a0. Lee, Shing-Yi, et al. “Genetic Analysis of the Rat Leukemia Virus: Influence of Viral Sequences in Transduction of the c-Ras Proto-Oncogene and Expression of Its Transforming Activity.” Journal of Virology, vol. 72, no. 12, Dec. 1998, pp. 9906–17."
"Allium virus X",317027,3,"species","Virus","RNA","ss","Positive_strand","Naked","Incongruent","Yes","Plant","Kiowa Gatewood Koshiq Hossain Laila Gad","TMD","Potexvirus ~ ViralZone Page. https://viralzone.expasy.org/272. Accessed 28 Oct. 2020.

Taxonomy Browser (Allium Virus X). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=317027. Accessed 28 Oct. 2020. Wylie, Stephen J., et al. “The Global Trade in Fresh Produce and the Vagility of Plant Viruses: A Case Study in Garlic.” PLoS ONE, vol. 9, no. 8, Aug. 2014. PubMed Central, doi:10.1371/journal.pone.0105044. *Taxonomy Browser (Allium Virus X). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=317027. Accessed 29 Oct. 2020.
*Potexvirus ~ ViralZone Page. https://viralzone.expasy.org/272. Accessed 29 Oct. 2020.
*https://www.cabi.org/isc/datasheet/118479"
"rhinovirus A16",31708,2,"serotype","Virus","RNA","Incongruent","Incongruent","Incongruent","Icosahedral","Yes","Human","Avrosina Kamel Ariadna Vanegas-Rubio","TMD","Palmenberg, Ann C., and James E. Gern. “Classification and Evolution of Human Rhinoviruses.” Methods in Molecular Biology (Clifton, N.J.), vol. 1221, 2015, pp. 1–10. PubMed Central, doi:10.1007/978-1-4939-1571-2_1. Taxonomy Browser (Human Rhinovirus A16). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=31708. Accessed 6 Dec. 2020.

Murphy, Ryan C., et al. “Effects of Asthma and Human Rhinovirus A16 on the Expression of SARS-CoV-2 Entry Factors in Human Airway Epithelium.” American Journal of Respiratory Cell and Molecular Biology, vol. 63, no. 6, Sept. 2020, pp. 859–63. atsjournals.org (Atypon), doi:10.1165/rcmb.2020-0394LE."
"Bean-pod mottle virus (strain Kentucky G7)",31715,3,"no_rank","Virus","RNA","ss","Positive_strand","Naked","Icosahedral","Yes","Plant","Monique Marie Vilme Moitrayee Dasgupta Momotaj Jahan","TMD","Mercier, Le. “Comovirus ~ ViralZone Page.” Expasy.Org, 2020, viralzone.expasy.org/298?outline=all_by_species. Accessed 24 Oct. 2020.

‌“Bean-Pod Mottle Virus (Strain Kentucky G7) (BPMV).” Uniprot.Org, 2020, www.uniprot.org/proteomes/UP000007610. Accessed 24 Oct. 2020.

‌ Bean Pod Mottle Virus - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/bean-pod-mottle-virus#:~:text=Bean%20pod%20mottle%20virus%20(BPMV)%20is%20a%20comovirus%20that%20contains,disease%20(Gergerich%2C%201999). Accessed 26 Oct. 2020.

Charlotte M. Smith, Cassidy R. Gedling, Kiana F. Wiebe, Bryan J. Cassone, A Sweet Story: Bean pod mottle virus Transmission Dynamics by Mexican Bean Beetles (Epilachna varivestis), Genome Biology and Evolution, Volume 9, Issue 3, March 2017, Pages 714–725, https://doi.org/10.1093/gbe/evx033 Bank, RCSB Protein Data. RCSB PDB - 1PGL: BEAN POD MOTTLE VIRUS (BPMV), MIDDLE COMPONENT. https://www.rcsb.org/structure/1pgl. Accessed 25 Oct. 2020.

Gu, Hongcang, et al. “Novel Naturally Occurring Bean Pod Mottle Virus Reassortants with Mixed Heterologous RNA1 Genomes.” Phytopathology®, vol. 97, no. 1, Jan. 2007, pp. 79–86. DOI.org (Crossref), doi:10.1094/PHYTO-97-0079.

“Genus: Comovirus - Secoviridae - Picornavirales.” International Committee on Taxonomy of Viruses (ICTV), https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/picornavirales/w/secoviridae/589/genus-comovirus. Accessed 25 Oct. 2020.

Comovirus ~ ViralZone Page. https://viralzone.expasy.org/298. Accessed 25 Oct. 2020."
"Cucumber mosaic virus (strain M)",31718,3,"no_rank","Virus","RNA","ss","Positive_strand","Naked","Icosahedral","Yes","Plant","Jin Hee Yoo Jarair Tahsin Jayati Mondal","TMD","Lei, Rong, et al. “Blue Native/SDS-PAGE and ITRAQ-Based Chloroplasts Proteomics Analysis of Nicotiana Tabacum Leaves Infected with M Strain of Cucumber Mosaic Virus Reveals Several Proteins Involved in Chlorosis Symptoms.” PROTEOMICS, vol. 18, no. 2, 2018, p. 1700359. Wiley Online Library, doi:https://doi.org/10.1002/pmic.201700359.

Nováková, Slavomíra, et al. “Cucumber Mosaic Virus Resistance: Comparative Proteomics of Contrasting Cucumis Sativus Cultivars after Long-Term Infection.” Journal of Proteomics, vol. 214, Mar. 2020, p. 103626. DOI.org (Crossref), doi:10.1016/j.jprot.2019.103626. Cucumovirus ~ ViralZone Page. https://viralzone.expasy.org/135?outline=all_by_species. Accessed 17 Jan. 2021.

Qiu, Yanhong, et al. “Cucumber Mosaic Virus Coat Protein Induces the Development of Chlorotic Symptoms through Interacting with the Chloroplast Ferredoxin I Protein.” Scientific Reports, vol. 8, no. 1, Jan. 2018, p. 1205. www.nature.com, doi:10.1038/s41598-018-19525-5. Cucumovirus ~ ViralZone Page. https://viralzone.expasy.org/135?outline=all_by_species. Accessed 5 Jan. 2021.

ORF3b - Capsid Protein - Cucumber Mosaic Virus (Strain M) (CMV) - ORF3b Gene & Protein. https://www.uniprot.org/uniprot/Q00260. Accessed 5 Jan. 2021."
"Blueberry scorch virus",31722,1,"species","Virus","RNA","ss","Positive_strand","Enveloped","","Yes","Plant","Grace Han","TMD","Martin, Robert R., et al. “New and Emerging Viruses of Blueberry and Cranberry.” Viruses, vol. 4, no. 11, Nov. 2012, pp. 2831–52. PubMed Central, doi:10.3390/v4112831."
"Johnsongrass mosaic virus",31742,1,"no_rank","Virus","RNA","ss","Positive_strand","Naked","Helical","Yes","Plant","Justyna Kadyszewska","TMD","Trucco, V., et al. “First Report of Johnsongrass Mosaic Virus in Argentina.” Australasian Plant Disease Notes, vol. 14, no. 1, Nov. 2019, p. 35. Springer Link, doi:10.1007/s13314-019-0365-2.

Gough, K. H., and D. D. Shukla. “Nucleotide Sequence of Johnsongrass Mosaic Potyvirus Genomic RNA.” Intervirology, vol. 36, no. 3, 1993, pp. 181–92. PubMed, doi:10.1159/000150336.

“Characterization of a Sorghum Mosaic Virus (SrMV) Isolate in China.” Saudi Journal of Biological Sciences, vol. 23, no. 2, Mar. 2016, pp. 237–42. www.sciencedirect.com, doi:10.1016/j.sjbs.2015.02.013.

Berger, Philip H., and Jason C. Parrish. “Potyvirus.” The Springer Index of Viruses, edited by Christian A. Tidona et al., Springer, 2001, pp. 843–55. Springer Link, doi:10.1007/3-540-31042-8_147.

Zamora, Miguel, et al. “Potyvirus Virion Structure Shows Conserved Protein Fold and RNA Binding Site in SsRNA Viruses.” Science Advances, vol. 3, no. 9, Sept. 2017. PubMed Central, doi:10.1126/sciadv.aao2182."
